,,,,,
,Crypto Forums,,,,
,Category,Man,Auto,,+/-
,Cashing Out,248,338,,90
,eBooks – Technical,4,66,,62
,Anonymity – VPN,107,135,,28
,Anonymity – Tor,119,140,,21
,Drugs – Production,11,25,,14
,Counterfeit Currency,13,21,,8
,Hacking – Phreaking,21,27,,6
,Modifying Credit,2,7,,5
,Cryptocurrency – Trading,0,3,,3
,Resources – Identity Documents,18,20,,2
,Digital Forensics,7,8,,1
,Clearing Criminal History,0,1,,1
,Lockpicking,1,2,,1
,Resources – Contact Lists,2,3,,1
,eWhoring,1,1,,0
,SEO,1,1,,0
,Denial of Service,1,1,,0
,Malware Authorship,1,1,,0
,Hacking – General,26,25,,-1
,Doxing,2,1,,-1
,Hacking – Wireless Networks,23,22,,-1
,Hacking – Mobile,1,0,,-1
,Hacking – Malware Supply Chain,3,2,,-1
,Weaponry & Explosives,7,5,,-2
,Hacking – Website,16,13,,-3
,eBooks – Other,14,10,,-4
,Fraud,117,105,,-12
,Drugs – General,60,48,,-12
,Transportation/Stealth,234,220,,-14
,Cryptocurrency – General,144,129,,-15
,PGP/GPG,215,199,,-16
,Carding,183,159,,-24
,Anonymity – Other,180,154,,-26
,Anonymity – Proxies,125,98,,-27
,Other,572,498,,-74
